# x y r lon
0.951004 0.020979 0.951236 0.022056
0.951011 0.021050 0.951244 0.022131
0.951018 0.021121 0.951253 0.022205
0.951025 0.021192 0.951261 0.022280
0.951032 0.021263 0.951270 0.022355
0.951039 0.021335 0.951278 0.022429
0.951046 0.021406 0.951287 0.022504
0.951053 0.021477 0.951296 0.022578
0.951060 0.021548 0.951304 0.022653
0.951067 0.021619 0.951313 0.022727
0.951074 0.021690 0.951322 0.022802
0.951082 0.021761 0.951331 0.022876
0.951089 0.021832 0.951339 0.022951
0.951096 0.021903 0.951348 0.023025
0.951103 0.021974 0.951357 0.023100
0.951110 0.022045 0.951366 0.023174
0.951118 0.022116 0.951375 0.023249
0.951125 0.022187 0.951384 0.023323
0.951132 0.022258 0.951393 0.023398
0.951140 0.022329 0.951402 0.023472
0.951147 0.022400 0.951411 0.023546
0.951154 0.022471 0.951420 0.023621
0.951162 0.022542 0.951429 0.023695
0.951169 0.022613 0.951438 0.023769
0.951177 0.022684 0.951447 0.023844
0.951184 0.022755 0.951456 0.023918
0.951192 0.022826 0.951465 0.023992
0.951199 0.022896 0.951475 0.024067
0.951207 0.022967 0.951484 0.024141
0.951214 0.023038 0.951493 0.024215
0.951222 0.023109 0.951503 0.024289
0.951230 0.023180 0.951512 0.024363
0.951237 0.023251 0.951521 0.024438
0.951245 0.023321 0.951531 0.024512
0.951253 0.023392 0.951540 0.024586
0.951260 0.023463 0.951550 0.024660
0.951268 0.023534 0.951559 0.024734
0.951276 0.023604 0.951569 0.024808
0.951284 0.023675 0.951578 0.024882
0.951291 0.023746 0.951588 0.024956
0.951299 0.023816 0.951597 0.025030
0.951307 0.023887 0.951607 0.025105
0.951315 0.023958 0.951616 0.025179
0.951323 0.024028 0.951626 0.025253
0.951331 0.024099 0.951636 0.025327
0.951339 0.024170 0.951646 0.025401
0.951347 0.024240 0.951655 0.025474
0.951355 0.024311 0.951665 0.025548
0.951363 0.024381 0.951675 0.025622
